@ Source: Teach Yourself Arabic, Lesson 1
§ Scheherazade
# 200
~ rtl
! ar

رجل/رجال|man|rad͡ʒʊl/rɪd͡ʒaːl|رَجُل/رِجَال
بيت/بيوت|house|bajt/bʊjuːt|بَيت/بُيُوت
كتاب/كتب|book|kɪtaːb/kʊtʊb|كِتَاب/كُتُب
باب/أبواب|door|baːb/ʔabwaːb|بَاب/أَبوَاب
مدير/مديرون|manager|mʊdiːr/mʊdiːruːn|مُدِير/مُدِيرُون
شارع/شوارع|street|ʃaːrɪʕ/ʃawaːrɪʕ|شَارِع/شَوَارِع
ولد/أولاد|boy|walad/ʔawlaːd|وَلَد/أَولَاد
مكتب/مكاتب|office, desk|maktab, makaːtɪb|مَكتَب/مَكَاتِب
شباك/شبابيك|window|ʃʊbbaːk/ʃabaːbiːk|شُبَّاك/شَبَابِيك
مطار/مطارات|airport|matˤaːr/matˤaːraːt|مَطَار/مَطَارَات
هرم / أهرام|pyramid|ˈharam / ʔahˈraːm|هَرَم / أَهرَام
شاي|tea|ʃaːj|شَاي
سكر|sugar|ˈsʊkkar|سُكَّر
تاكسي|taxi|ˈtaːksiː|تَاكسِي
مصباح|lamp|mɪsˤˈbaːħ|مِصبَاح
سحري|magic|ˈsɪħriː|سِحرِي
سندوتش|sandwich|sandawɪtʃ|سَندَوِتش

طويل|tall (person)|tˤawiːl|طَوِيل
قصير / قصار|short|qasˤiːr / qɪsˤaːr|قَصِير / قِصَار
كبير / كبار|big; old (people)|kabiːr / kɪbaːr|كَبِير / كِبَار
صغير / صغار|small; young (people)|sˤaɣiːr / sˤɪɣaːr|صَغِير / صِغَار
مشغول|busy|maʃɣuːl|مَشْغُول
واسع|spacious|waːsɪʕ|وَاسِع
مفيد|useful|mʊfiːd|مُفِيد
مشهور / مشاهير|famous|maʃhuːr / maʃaːhiːr|مَشْهُور / مَشَاهِير
نحيف / نحاف|thin|naħiːf / nɪħaːf|نَحِيف / نِحَاف
بعيد|far, distant|baʕiːd|بَعِيد
نضيف / نضاف|clean|nadˤiːf / nɪdˤaːf|نَضِيف / نِضَاف

السلام عليكم|hello|assaˈlaːm ʕaˈlajkʊm|السَلَام عَلَيكُم
وعليكم السلام|hello (in reply)|waʕaˈlajkʊm assaˈlaːm|وَعَلَيكُم السَلَام
صباح الخير|good morning|sˤaˈbaːħ al-xajr|صَبَاح الخَير
صباح النور|good morning (in reply)|sˤaˈbaːħ annuːr|صَبَاح النُور
مساء الخير|good evening|maˈsaːʔ al-xajr|مَسَاء الخَير
مساء النور|good evening (in reply)|maˈsaːʔ annuːr|مَسَاء النُور
كيف حالك؟|How are you?|kajfa ˈħaːl(a/i)k?|كَيفَ حَالَك؟
الحمد لله|reply to how are you|al-ˈħamdʊ lɪlˈlah|الحَمدُ لِلَّه
بخير|well (reply to how are you)|bɪxajr|بِخَير
أهلا وسهلا|welcome!|ˈʔahlan wa-ˈsahlan|أَهلًا وَسَهلًا
أهلا بك|reply to welcome|ˈʔahlan bɪk(ɪ)|أَهلًا بِك
من فضلك|please|mɪn ˈfadˤlak|مِن فَضلَك
بكم هذا؟|how much is this?|bɪkʊm ˈhaːða?|بِكُم هَذَا؟
تفضل|here you are, you're welcome|taˈfaddˤal|تَفَضَّل
شكرا|thank you|ˈʃʊkran|شُكرًا
نعم|yes|ˈnaʕam|نَعَم
أو|or|ʔaw|أَو
لا|no|laː|لَا

بدون|without|bɪduːn|بِدُون
