@ Source: Teach Yourself Arabic, Lesson 2
§ Scheherazade
# 200
~ rtl
! ar

اسم / إسماء|name|ɪsm / ʔɪsmaːʔ|اِسم / إِسمَاء
طالب / طلاب|student|tˤaːlib / tˤullaːb|طَالِب / طُلَّاب
كاتب / كتاب|scribe|kaːtɪb / kɪttaːb|كَاتِب / كِتَّاب
مدينة / مدن|city|madiːnaʰ / mʊdʊn|مَدِينَة / مُدُن
متحف / متاحف|museum|matħaf / mataːħɪf|مَتحَف / مَتَاحِف
فندق / فنادق|hotel|ˈfʊndʊq / fanaːdɪqʊ|فُندُق / فَنَادِقُ
مطعم / مطاعم|restaurant|ˈmatˤʕam / matˤaːʕɪmʊ|مَطعَم / مَطَاعِمُ
رقم تلفون|telephone number|raqm tɪlɪˈfuːn|رَقْم تِلِفُون
سيارة|car|sajˈjaːraʰ|سَيَّارَة
مطار / مطارات|airport|matˤaːr / matˤaːraːt|مَطَار / مَطَارَات


حسن|well, right, ok|ħasanan|حَسَنً
هناك|there is, there are|hʊˈnaːka|هُنَاكَ
طبعا|naturally, of course|ˈtˤabʕan|طَبعًا


ما؟ / ماذا؟|what?|maː? / maːðaː?|مَا؟ / مَاذَا؟


على|on|ˈʕalaː|عَلَى
إلى|to, towards|ˈʔɪlaː|إِلَى
 

جدن|very|d͡ʒɪddan|جِدَّن
قديم|old (things)|qadiːm|قَدِيم
قريب من|near|qariːb mɪn|قَرِيب مِن
ممتاز|excellent|mʊmˈtaːz|مُمتَاز
مشغول|busy (occupied)|maʃɣuːl|مَشغُول


هنا|here|ˈhʊnaː|هُنَا
القاهرة|Cairo|al-ˈqaːhɪraʰ|القَاهِرَة
الجيزة|Giza|alˈɡiːzaʰ|الجِيزَة
مصر|Egypt|mɪsˤr|مِصر
أمريكا|America|ʔamˈriːkaː|أَمرِيكَا
اليابان|Japan|al-jaːˈbaːn|اليَابَان
روسيا|Russia|ˈruːsjaː|رُوسيَا
أستراليا|Australia|ʔʊstʊraːlijaː|أُستُرَالِيَا
البحرين|Bahrain|al-baħrajn|البَحرَين


أن|I|ˈʔana|أَنَ
أنت|you (m/f)|ˈʔanta / ˈʔantɪ|أَنتَ / أَنتِ
هو / هي|he, she|ˈhuwa / ˈhija|هُوَ / هِي
نحن|we|ˈnaħnʊ|نَحنُ
أنتم / أنتن|you (m pl, f pl)|ʔantʊm / ʔantʊnna|أَنتُم / أَنتُنَّ
هم / هن|they (m pl, f pl)|hʊm / hʊnna|هُم / هُنَّ
