@ Source: Teach Yourself Arabic, Lesson 2
§ Scheherazade
# 200
~ rtl
! ar

بيت كبير|a big house|bajt kaˈbiːr|بَيت كَبِير
البيت الكبير|the big house|al-bajt al-kaˈbiːr|البَيت الكَبِير
البيت كبير|the house is big|al-bajt kabiːr|البَيت كَبِير
رشيد هو الرئيس|Rashid is the boss|raʃiːd huwa rraʔiːs|رَشِيد هُوَ الرَئِيس


حسنا. أنا إسمي سعاد. ما إسمك؟|So. My name is Suad. What's your name?|ħasanan. ʔanaː ʔɪsmiː sʊʕaːd. maː ʔɪsmak?|حَسَنًا. أَنَا إِسمِي سُعَاد. مَا إِسمَك؟
من أين أنت؟|Where are you from?|mɪn ʔajna ʔanta?|مِن أَينَ أَنتَ؟
أنا من الاسكندرية في مصر.|I'm from Alexandria in Egypt.|ʔana mɪn al-ɪskandariːja fiː mɪsˤr.|أَنَا مِن الِاسكَندَرِيَّة فِي مِصر.


مصر جميلة جدا|Egypt is very beautiful.|mɪsˤr d͡ʒamiːla d͡ʒɪddan|مِصر جَمِيلَة جِدًّا
القاهرة مدينة كبيرة، وهي قديمة جدا.|Cairo is a large city, and it is very old.|al-ˈqaːhɪra maˈdiːna kaˈbiːra, waˈhiːa qaˈdiːma d͡ʒɪddanˈ.|القَاهِرَة مَدِينَة كَبِيرَة، وَهِيَ قَدِيمَة جِدًّا.
المتحف المصري في ميدان التحرير قريب من فندق النيل.|The Egyptian Museum in Tahrir Square is near to the Nile Hotel.|al-ˈmatħaf al-ˈmɪsˤriː fiː majˈdaːn attaħˈriːr qaˈriːb mɪn ˈfʊndʊq anniːl.|المَتحَف المِصرِي فِي مَيدَان التَحرِير قَرِيب مِن فُندُق النِيل.
هناك مطعم ممتاز في فندق النيل في ميدان التحرير.|There is an excellent restaurant in the Nile Hotel at Tahrir Square.|hʊˈnaːka ˈmatˤʕam mʊmˈtaːz fiː ˈfʊndʊq anniːl fiː majˈdaːn attaħˈriːr.|هُنَاكَ مَطعَم مُمتَاز فِي فُندُق النِيل فِي مَيدَان التَحرِير.
وطبعا هناك الأهرام في الجيزة.|And naturally there are the pyramids in Giza.|waˈtˤabʕan hʊˈnaːka al-ʔahˈraːm fi lɡiːza.|وَطَبعًا هُنَاكَ الأَهرَام فِي الجِيزَة.


رقم تلفونك كم، يا حامد؟|What's your phone number, Hamid?|raqm tɪlɪfuːnak kam, jaː ħaːmɪd?|رَقم تِلِفُونَك كَم، يَا حَامِد؟
رقم تلفوني ٦٣٤٧٢١١.|My phone number is 6347211.|ˈraqam tɪlɪˈfuːniː sɪtta thalaːtha arbaʕa sabʕa ɪthnajn waːħɪd waːħɪd.|رَقَم تِلِفُونِي ٦٣٤٧٢١١.
