@ This file includes all Level 1 Kanji characters.
! ja
# 200
§ serif

人|person|hito, san.nin, gai.jin
入|enter, put in|nyuu.jou.ken, i.ri.guchi, hai.ru 
土|earth, ground|tsuchi, do.you.bi 
上|up; over; go up|ue, a.garu, nobo.ru 
下|down|shita, kuda.sai 
夕|evening|yuu.gata 
大|big|oo.kii, dai.gaku 
女|woman|kano.jo, onna no hito 
子|child|ko.domo, den.shi 
小|small|chii.sai, ko.inu 
山|mountain|fuji.san, yama 
川|river|kawa 
中|middle|naka ni, chuu.goku 
円|circle; yen|en, maru.i 
天|heaven|ten.ki 
手|hand; occupational suffix|un.ten.shu, te 
日|sun; day|hi, nichi.you.bi, mik.ka 
月|moon; month|tsuki, ik.ka.getsu, ichi.gatsu 
木|tree, wood|moku.you.bi, ki 
水|water|sui.you.bi, mizu 
火|fire|ka.you.bi, hi 
犬|dog|inu 
出|leave|de.ru, da.su, shup.patsu 
本|root, origin; book; this|hon, moto 
正|correct, proper|tada.shii, shou.jiki na 
生|life, to be born|i.kiru 
田|rice field|sui.den, ta.naka, *inaka 
白|white|shiro.i, haku.jin 
目|eye; item|me 
立|stand, rise|ta.tsu 
休|rest|yasu.mu 
先|previous|sen.shuu, o.saki.ni 
年|year|toshi, ichi.nen 
早|early|haya.i 
気|spirit|gen.ki 
百|hundred|hyaku 
竹|bamboo|chiku.rin, take no ko 
虫|insect|mushi 
町|town, block|machi, ten.nou.chou 
男|man|dan.sei, otoko no hito 
見|see|ken.butsu suru, mi.ru 
車|vehicle|kuruma, ji.dou.sha 
学|study|gaku.sei 
林|woods|hayashi 
雨|rain|ame 
草|grass|kusa 
校|school; collate|gak.kou, kou.sei 
森|forest|mori 
