@ This file includes all Level 2 Kanji characters.
! ja
# 200
§ serif

角|angle, horn|kado, san.kaku; tsuno
走|run|hashi.ru 
丸|round|maru.ichi.nichi 
才|talent; age suffix|go.sai; sai.nou 
友|friend| 
夜|night| 
活|activity, life| 
通|pass (through); communicate| 
牛|cow| 
切|cut| 
父|father| 
少|little| 
太|thick| 
北|north| 
兄|older brother| 
色|colour| 
地|ground, place| 
多|many| 
会|meet; society| 
同|same| 
自|self| 
考|think| 
社|company; society| 
里|countryside; league| 
図|drawing| 
谷|valley| 
国|country| 
長|long; chief| 
歩|walk| 
妹|younger sister| 
前|before| 
食|eat, food| 
茶|tea| 
風|wind; manner| 
家|house; family| 
紙|paper| 
帰|return| 
時|time| 
雪|snow| 
雲|cloud| 
朝|morning; dynasty| 
道|way| 
電|electricity| 
話|speak| 
語|language, word| 
読|read| 
万|ten thousand|man 
方|direction; square| 
分|divide, part; minute| 
戸|door| 
今|now|ima, ko.toshi, *kyou 
元|origin, source|moto.moto, gen.ki, gan.jitsu 
止|stop| 
半|half| 
母|mother| 
古|old|furu.i, chuu.ko.sha 
行|go; line; do|i.ku, okona.u, yu.ki.saki, ryo.kou, san.gyou 
回|turn around| 
来|come|ku.ru, rai.nen 
作|make, work| 
言|say| 
明|bright, clear| 
京|capital|tou.kyou 
東|east|higashi, tou.kyou 
門|gate|mon 
知|know| 
思|think| 
高|high| 
買|buy| 
間|interval| 
聞|hear| 
曜|day of the week|nichi.you.bi 
