@ Source: Teach Yourself Hindi, Lesson 1
§ serif
# 200
~ ltr
! hi

अच्छा|good |att͡ʃaː
आदमी|man, person |aːdmiː
आप|you (formal/polite) |aːp
एक|one; a |eːk
और|and; more |ɔːr
कमरा|room m. |kamraː
क़मीज़|shirt f. |qamiːz
कुरसी|chair f. |kursiː
गंदा|dirty |gandaː
गुजराती|Gujarati |gud͡ʒaraːtiː
चाचा|paternal uncle |t͡ʃaːt͡ʃaː
चार|four |t͡ʃaːr
छोटा|small |t͡ʃʰoːʈaː
जार्मन|German |d͡ʒaːrman
जी नहीं|no |d͡ʒiː nahiː̃
जी हाँ|yes |d͡ʒiː haː̃
तुम|you (familiar) |tum
तू|you (intimate) |tuː
दो|two |doː
दोनों|both, the two |doːnoː̃
धोबी|washerman m. |dhoːbiː
नमस्ते|greetings, goodbye f. |namasteː
नहीं|not |nahiː̃
पंजाबी|Panjabi m. f. adj. |pãd͡ʒaːbiː
पाकिस्तानी|Pakistani m. f. adj. |paːkɪstaːniː
अँग्रेज़|englishman|ãgrez 
पिता|father m. |pɪtaː
बड़ा|big |baɽaː
बहू|daughter in law, wife f. |bahuː
बुढ़िया|old woman f. |buɽʱɪyaː
बेटी|girl, daughter f. |beːʈiː
भारतीय|Indian m. f. adj. |bʱaːratiːy
मकान|house m. |makaːn
माता|mother f. |maːtaː
मेज़|table f. |meːz
मैं|I |maĩ
यह|this, he, she, it |yeh
यहाँ|here |yahaː̃
ये|these, they; he, she (honorific) |yeː
राजा|king, rajah mm. |raːd͡ʒaː
लड़का|boy m. |laɽkaː
लड़की|girl f. |laɽkiː
लेकिन|but |leːkɪn
लोग|people m. |loːg
वह|that, he, she, it |veh
वहाँ|there |vahaː̃
वे|those, they; he, she (honorific) |veː
शक्ति|power f. |ʃakti
सफ़ेद|white |safeːd
साफ़|clean, clear |saːf
सिर्फ़|only |sɪrf
हम|we |ham
हिन्दुस्तानी|Indian m. f. adj. |hɪndustaːniː
हिन्दू|Hindu m. f. adj. |hɪnduː
