@ Source: Hugo Russian, Lesson 3+4 vocab
§ Times New Roman
# 200
~ ltr
! ru

бюро|office|byoo-ró
дядя|uncle|dyá-dya
Кремль|Kremlin|kryemly
царь|tsar|tsary
город|town|gó-rat
женщина|woman|zhén-shshee-na
Сибирь|Siberia|see-béery
письмо|letter|peesy-mó
утро|morning|óo-tra
такси|taxi|tak-sée
где|where?|gdye
здравстуйте|hello|zdrá-stvooy-tye
как|how?|kak
медленно|slowly|myé-dlye-na
спасибо|thank you|spa-sée-ba
пожалуйста|please / don't mention it (in reply to спасибо)|pa-zhál-sta
хорошо|well / good / OK|ha-ra-shó
американец|American (m)|a-mye-ree-ká-nyets
американка|American (f)|a-mye-ree-kán-ka
англичанин|Englishman|an-glee-chá-neen
англичанка|Englishwoman|an-glee-chán-ka
друг|friend|drook
студентка|stoo-dyént-ka|
човет|soviet|sa-vyét
учительница|teacher|oo-chée-tyely-nee-tsa
Москва|Moscow|mask-vá
кто|who|kto
очень|very|ó-chyeny
что|that, what|shto
это|this|é-ta
знать|to know|znaty
понимать|to understand|pa-nee-máty
говорить|to speak|ga-va-reety
простите|excuse me|pra-stée-tye
работать|to work|ra-bó-taty
