@ Source: Sample list of vocabulary, taken from http://r12a.github.io/scripts/arabic/
§ Noto Nastaliq Urdu
# 200
~ rtl
! ur

تِین|three|tiːn
گاری|car|gɑːriː
اِنسَان|human|ɪnsɑːn
کوئلہ|coal|koɪlɑː
اُڑنَا|to fly|ʊɽ.nɑː
سُست|lazy|sʊst
خوش|happy|xʊʃ
خود|self|xʊd
اُوپر|above|uːpar
پُورا|absolutely|puːrɑː
ہندُو|Hindu|hɪnduː
ایک|one|eːk
بیٹا|son|beʈɑː
اِینٹ|brick|iːnʈ
بجے|PM|bad͡ʒe
اوس|dew|oːs
ٹوپی|hat|ʈoːpiː
کو|on|koː
شیرِ پنجاب|Lion of the Punjab|ʃer ɛ panʤɑːb
درجۂ حرارت|temperature|dərd͡ʒa ɛ hərɑːrət
آزادیٔ مذہب|freedom of religion|ɑːzɑːdiː ɛ məzhəb
روئے زمین|the surface of the ground|ruː ɛ zamiːn
اَیسا|such a|ɛːsɑː
کَیسَا|how|kɛːsɑː
قطرۂ آب|drop of water|qatra ɛ ɑːb
اَور|and|ɔːr
شَوق|interest|ʃɔːq
نَو|nine|nɔː
